Częstotliwość (Hz)	Poziom (dB)
1,345825	-131,881821
2,691650	-130,600891
4,037476	-129,131592
5,383301	-127,465462
6,729126	-125,953056
8,074951	-124,555710
9,420776	-123,104538
10,766602	-121,770302
12,112427	-120,491959
13,458252	-119,231400
14,804077	-117,978828
16,149902	-116,742729
17,495728	-115,513710
18,841553	-114,250809
20,187378	-112,971451
21,533203	-111,659134
22,879028	-110,305656
24,224854	-108,908295
25,570679	-107,450638
26,916504	-105,926277
28,262329	-104,332809
29,608154	-102,632545
30,953979	-100,840126
32,299805	-98,926399
33,645630	-96,873573
34,991455	-94,659698
36,337280	-92,250687
37,683105	-89,619034
39,028931	-86,719131
40,374756	-83,503059
41,720581	-79,929871
43,066406	-76,039513
44,412231	-72,452492
45,758057	-91,911453
47,103882	-24,346903
48,449707	-7,200197
49,795532	-1,964480
51,141357	-5,752212
52,487183	-20,521070
53,833008	-73,586723
55,178833	-72,087372
56,524658	-75,387177
57,870483	-79,294159
59,216309	-82,911606
60,562134	-86,167580
61,907959	-89,097862
63,253784	-91,750412
64,599609	-94,167679
65,945435	-96,385956
67,291260	-98,432381
68,637085	-100,332504
69,982910	-102,103592
71,328735	-103,767487
72,674561	-105,320343
74,020386	-106,792664
75,366211	-108,183563
76,712036	-109,502266
78,057861	-110,762794
79,403687	-111,962753
80,749512	-113,104401
82,095337	-114,186943
83,441162	-115,244751
84,786987	-116,246872
86,132813	-117,211937
87,478638	-118,143761
88,824463	-119,045906
90,170288	-119,906990
91,516113	-120,759361
92,861938	-121,589653
94,207764	-122,367279
95,553589	-123,106491
96,899414	-123,848511
98,245239	-124,570053
99,591064	-125,250824
100,936890	-125,965935
102,282715	-126,601273
103,628540	-127,218681
104,974365	-127,876282
106,320190	-128,465561
107,666016	-129,096649
109,011841	-129,647827
110,357666	-130,213211
111,703491	-130,747025
113,049316	-131,319107
114,395142	-131,883224
115,740967	-132,414886
117,086792	-132,854324
118,432617	-133,369354
119,778442	-133,834000
121,124268	-134,209991
122,470093	-134,715195
123,815918	-135,192490
125,161743	-135,698624
126,507568	-136,141388
127,853394	-136,592224
129,199219	-136,973495
130,545044	-137,445709
131,890869	-137,827362
133,236694	-138,249847
134,582520	-138,716537
135,928345	-139,123825
137,274170	-139,358749
138,619995	-139,745697
139,965820	-140,131088
141,311646	-140,560669
142,657471	-140,922714
144,003296	-141,333740
145,349121	-141,731277
146,694946	-141,961731
148,040771	-142,368820
149,386597	-142,631577
150,732422	-142,993927
152,078247	-143,227997
153,424072	-143,554276
154,769897	-143,938110
156,115723	-144,326431
157,461548	-144,517227
158,807373	-144,697266
160,153198	-145,203064
161,499023	-145,511566
162,844849	-145,665314
164,190674	-146,227173
165,536499	-146,345428
166,882324	-146,688599
168,228149	-147,008881
169,573975	-147,227158
170,919800	-147,373245
172,265625	-147,726791
173,611450	-148,014343
174,957275	-148,090088
176,303101	-148,302826
177,648926	-149,020660
178,994751	-149,382004
180,340576	-149,373123
181,686401	-149,526794
183,032227	-149,753128
184,378052	-149,847916
185,723877	-150,364410
187,069702	-150,887482
188,415527	-150,676407
189,761353	-150,954071
191,107178	-151,406235
192,453003	-151,221573
193,798828	-151,788773
195,144653	-151,940048
196,490479	-151,939606
197,836304	-152,275848
199,182129	-152,792572
200,527954	-152,839249
201,873779	-153,052475
203,219604	-153,172546
204,565430	-153,244736
205,911255	-153,583710
207,257080	-153,295853
208,602905	-154,539581
209,948730	-154,223145
211,294556	-154,282867
212,640381	-154,547913
213,986206	-155,085220
215,332031	-154,530411
216,677856	-155,311600
218,023682	-155,592361
219,369507	-155,844101
220,715332	-155,203430
222,061157	-154,170227
223,406982	-156,084839
224,752808	-155,290710
226,098633	-156,244247
227,444458	-156,815262
228,790283	-157,509491
230,136108	-157,715118
231,481934	-157,550705
232,827759	-157,424026
234,173584	-157,830750
235,519409	-157,883774
236,865234	-157,936432
238,211060	-158,317535
239,556885	-158,635040
240,902710	-158,435303
242,248535	-158,194077
243,594360	-158,728653
244,940186	-159,844513
246,286011	-159,265305
247,631836	-159,270798
248,977661	-159,066803
250,323486	-160,495178
251,669312	-159,050034
253,015137	-159,580750
254,360962	-160,688492
255,706787	-159,988571
257,052612	-159,726776
258,398438	-160,907791
259,744263	-159,944855
261,090088	-160,994919
262,435913	-160,516739
263,781738	-162,066406
265,127563	-162,572311
266,473389	-162,316406
267,819214	-161,579575
269,165039	-162,011276
270,510864	-163,042557
271,856689	-161,295959
273,202515	-163,159500
274,548340	-162,061768
275,894165	-162,758347
277,239990	-162,542053
278,585815	-163,172913
279,931641	-162,180984
281,277466	-163,869202
282,623291	-162,212112
283,969116	-164,474228
285,314941	-162,851288
286,660767	-164,266708
288,006592	-162,956467
289,352417	-164,498764
290,698242	-163,844086
292,044067	-165,024384
293,389893	-170,882629
294,735718	-161,375122
296,081543	-160,265060
297,427368	-164,564850
298,773193	-166,118439
300,119019	-166,302902
301,464844	-164,537415
302,810669	-165,344559
304,156494	-164,976318
305,502319	-165,034317
306,848145	-167,534348
308,193970	-164,603134
309,539795	-165,504623
310,885620	-166,669708
312,231445	-164,842239
313,577271	-168,190704
314,923096	-164,058533
316,268921	-167,051498
317,614746	-167,065765
318,960571	-166,724091
320,306396	-167,844421
321,652222	-166,179214
322,998047	-167,289124
324,343872	-166,385437
325,689697	-167,483459
327,035522	-167,063187
328,381348	-169,470078
329,727173	-167,750885
331,072998	-168,100220
332,418823	-167,908554
333,764648	-168,617096
335,110474	-167,658630
336,456299	-167,253510
337,802124	-169,237335
339,147949	-169,562408
340,493774	-168,597534
341,839600	-169,542770
343,185425	-171,013748
344,531250	-169,532257
345,877075	-169,861206
347,222900	-168,649796
348,568726	-168,928406
349,914551	-167,774002
351,260376	-176,712128
352,606201	-167,863647
353,952026	-169,691315
355,297852	-168,094009
356,643677	-172,792328
357,989502	-169,060806
359,335327	-169,029709
360,681152	-170,280777
362,026978	-171,114807
363,372803	-169,478180
364,718628	-173,832581
366,064453	-169,277847
367,410278	-170,724976
368,756104	-171,597031
370,101929	-171,531006
