Częstotliwość (Hz)	Poziom (dB)
0,672913	-127,460579
1,345825	-120,508095
2,018738	-120,449272
2,691650	-115,090759
3,364563	-113,894714
4,037476	-108,504539
4,710388	-105,324181
5,383301	-103,514572
6,056213	-105,484840
6,729126	-103,072128
7,402039	-106,290283
8,074951	-106,409363
8,747864	-111,940712
9,420776	-127,709808
10,093689	-111,272217
10,766602	-115,826317
11,439514	-104,035065
12,112427	-107,099770
12,785339	-111,428192
13,458252	-109,435181
14,131165	-106,349037
14,804077	-108,033882
15,476990	-104,570084
16,149902	-110,132431
16,822815	-104,900261
17,495728	-109,907684
18,168640	-108,902443
18,841553	-103,804192
19,514465	-102,202232
20,187378	-104,064674
20,860291	-98,698997
21,533203	-106,599258
22,206116	-107,609146
22,879028	-101,764938
23,551941	-105,587440
24,224854	-101,306519
24,897766	-103,521751
25,570679	-105,912071
26,243591	-107,343742
26,916504	-113,858147
27,589417	-104,036392
28,262329	-102,291565
28,935242	-101,867203
29,608154	-112,131248
30,281067	-107,939331
30,953979	-105,696129
31,626892	-113,451797
32,299805	-100,130867
32,972717	-101,952591
33,645630	-115,477554
34,318542	-107,642540
34,991455	-118,568832
35,664368	-102,114784
36,337280	-103,158737
37,010193	-102,402824
37,683105	-106,602371
38,356018	-107,481194
39,028931	-104,973091
39,701843	-106,187584
40,374756	-108,446533
41,047668	-104,063080
41,720581	-101,299370
42,393494	-112,552078
43,066406	-108,950142
43,739319	-106,683624
44,412231	-114,208946
45,085144	-104,859375
45,758057	-103,249283
46,430969	-98,328842
47,103882	-104,287926
47,776794	-95,253151
48,449707	-96,524536
49,122620	-110,330673
49,795532	-106,411575
50,468445	-107,465149
51,141357	-104,727341
51,814270	-100,312241
52,487183	-101,085823
53,160095	-105,413368
53,833008	-107,938667
54,505920	-101,053726
55,178833	-106,090363
55,851746	-106,448425
56,524658	-123,416626
57,197571	-101,228371
57,870483	-99,362129
58,543396	-98,147675
59,216309	-99,945518
59,889221	-100,763435
60,562134	-98,709290
61,235046	-97,334671
61,907959	-100,637062
62,580872	-106,799690
63,253784	-109,326965
63,926697	-101,325264
64,599609	-100,110046
65,272522	-101,079079
65,945435	-104,269218
66,618347	-101,430382
67,291260	-98,184029
67,964172	-101,244888
68,637085	-112,740440
69,309998	-104,867996
69,982910	-106,295341
70,655823	-100,923286
71,328735	-99,318611
72,001648	-95,833366
72,674561	-104,514977
73,347473	-95,538116
74,020386	-91,480469
74,693298	-92,324585
75,366211	-101,133301
76,039124	-104,217194
76,712036	-103,594688
77,384949	-101,613472
78,057861	-104,229012
78,730774	-98,518394
79,403687	-95,528259
80,076599	-97,139915
80,749512	-97,751625
81,422424	-105,227982
82,095337	-108,363228
82,768250	-103,327484
83,441162	-97,668015
84,114075	-100,271790
84,786987	-109,892334
85,459900	-111,021042
86,132813	-100,897820
86,805725	-102,601006
87,478638	-99,312111
88,151550	-98,073753
88,824463	-104,218597
89,497375	-109,604004
90,170288	-100,640053
90,843201	-97,554482
91,516113	-94,652504
92,189026	-99,385765
92,861938	-93,087746
93,534851	-93,334358
94,207764	-94,918388
94,880676	-108,818054
95,553589	-113,188622
96,226501	-101,406265
96,899414	-100,758942
97,572327	-95,290115
98,245239	-93,179955
98,918152	-97,727303
99,591064	-93,746956
100,263977	-98,484421
100,936890	-90,562950
101,609802	-92,943825
102,282715	-98,730438
102,955627	-95,732399
103,628540	-88,836151
104,301453	-89,948822
104,974365	-94,438141
105,647278	-88,608688
106,320190	-85,950363
106,993103	-88,691833
107,666016	-84,190331
108,338928	-92,330429
109,011841	-81,742409
109,684753	-77,249031
110,357666	-78,636559
111,030579	-75,333641
111,703491	-79,740486
112,376404	-86,577377
113,049316	-83,384819
113,722229	-90,812912
114,395142	-75,095406
115,068054	-69,445770
115,740967	-65,970810
116,413879	-68,209328
117,086792	-69,255417
117,759705	-75,621956
118,432617	-74,860107
119,105530	-69,612450
119,778442	-76,188614
120,451355	-67,035736
121,124268	-72,053635
121,797180	-60,677258
122,470093	-57,079407
123,143005	-57,513908
123,815918	-57,752384
124,488831	-54,305336
125,161743	-52,933048
125,834656	-54,886414
126,507568	-58,675129
127,180481	-58,084831
127,853394	-55,881153
128,526306	-54,918655
129,199219	-55,507057
129,872131	-57,288544
130,545044	-58,001446
131,217957	-64,156082
131,890869	-66,913025
132,563782	-69,992363
133,236694	-69,244202
133,909607	-67,068092
134,582520	-65,421486
135,255432	-60,626358
135,928345	-57,012150
136,601257	-57,005165
137,274170	-59,170971
137,947083	-59,647022
138,619995	-57,017204
139,292908	-53,990246
139,965820	-52,062695
140,638733	-49,626572
141,311646	-49,851166
141,984558	-50,756908
142,657471	-51,638554
143,330383	-58,693745
144,003296	-65,136543
144,676208	-56,201405
145,349121	-53,826405
146,022034	-53,554798
146,694946	-53,116352
147,367859	-53,247898
148,040771	-53,596859
148,713684	-54,026917
149,386597	-53,392200
150,059509	-53,452477
150,732422	-54,806293
151,405334	-58,434849
152,078247	-62,768627
152,751160	-55,106285
153,424072	-49,948437
154,096985	-46,731880
154,769897	-46,361469
155,442810	-48,330750
156,115723	-54,391659
156,788635	-55,214886
157,461548	-47,528530
158,134460	-43,786003
158,807373	-41,141041
159,480286	-40,307968
160,153198	-39,670822
160,826111	-40,414005
161,499023	-40,983582
162,171936	-41,022861
162,844849	-42,060440
163,517761	-43,462391
164,190674	-45,844681
164,863586	-48,132618
165,536499	-49,614494
166,209412	-50,191589
166,882324	-49,382050
167,555237	-48,796303
168,228149	-49,047112
168,901062	-51,302082
169,573975	-48,831799
170,246887	-46,580315
170,919800	-44,030357
171,592712	-42,687775
172,265625	-41,651188
172,938538	-41,036396
173,611450	-41,195560
174,284363	-41,467991
174,957275	-41,405205
175,630188	-41,183117
176,303101	-40,742813
176,976013	-40,662636
177,648926	-41,285309
178,321838	-41,998238
178,994751	-42,727062
179,667664	-42,835880
180,340576	-42,729645
181,013489	-43,494320
181,686401	-44,392467
182,359314	-44,683636
183,032227	-45,049896
183,705139	-45,324039
184,378052	-45,192791
185,050964	-45,286221
185,723877	-45,884876
186,396790	-46,871490
187,069702	-47,349281
187,742615	-46,968174
188,415527	-46,288071
189,088440	-47,146145
189,761353	-48,450169
190,434265	-49,687538
191,107178	-52,124218
191,780090	-54,506908
192,453003	-55,932354
193,125916	-56,094868
193,798828	-55,528183
194,471741	-56,934311
195,144653	-61,387871
195,817566	-62,790806
196,490479	-64,725952
197,163391	-62,041897
197,836304	-58,307095
198,509216	-56,056572
199,182129	-58,792923
199,855042	-63,011097
200,527954	-59,596786
201,200867	-61,100182
201,873779	-61,288898
