Częstotliwość (Hz)	Poziom (dB)
5,859375	-89,081497
11,718750	-89,878792
17,578125	-87,125046
23,437500	-85,327599
29,296875	-85,852638
35,156250	-84,486366
41,015625	-82,082504
46,875000	-80,283264
52,734375	-78,998787
58,593750	-78,837067
64,453125	-79,219589
70,312500	-78,905495
76,171875	-78,532028
82,031250	-77,670799
87,890625	-76,130997
93,750000	-72,606743
99,609375	-68,042099
105,468750	-61,414707
111,328125	-53,564232
117,187500	-48,765892
123,046875	-47,404610
128,906250	-47,084263
134,765625	-48,829578
140,625000	-49,164436
146,484375	-48,364372
152,343750	-49,048531
158,203125	-50,943840
164,062500	-48,546326
169,921875	-46,341984
175,781250	-45,324558
181,640625	-43,944740
187,500000	-41,890476
193,359375	-41,169003
199,218750	-39,777706
205,078125	-39,217350
210,937500	-38,798080
216,796875	-36,932556
222,656250	-36,007370
228,515625	-37,661701
234,375000	-38,292633
240,234375	-39,271397
246,093750	-40,192596
251,953125	-38,585529
257,812500	-38,824764
263,671875	-40,993301
269,531250	-41,836197
275,390625	-40,033722
281,250000	-39,827278
287,109375	-41,364075
292,968750	-39,776546
298,828125	-38,680141
304,687500	-42,087105
310,546875	-46,199936
316,406250	-48,058743
322,265625	-44,464233
328,125000	-39,937256
333,984375	-39,658474
339,843750	-38,490925
345,703125	-34,318451
351,562500	-34,626652
357,421875	-35,269722
363,281250	-37,361069
369,140625	-37,069878
375,000000	-35,010796
380,859375	-35,247326
386,718750	-36,468628
392,578125	-37,802322
398,437500	-39,732037
404,296875	-42,802811
410,156250	-42,701649
416,015625	-39,177277
421,875000	-37,567211
427,734375	-37,019447
433,593750	-35,700455
439,453125	-33,673588
445,312500	-33,111252
451,171875	-36,013176
457,031250	-34,427216
462,890625	-31,498568
468,750000	-32,397312
474,609375	-31,626656
480,468750	-31,523279
486,328125	-32,449356
492,187500	-31,550312
498,046875	-30,538872
503,906250	-31,213978
509,765625	-32,489216
515,625000	-32,760307
521,484375	-33,043465
527,343750	-35,409458
533,203125	-39,822262
539,062500	-41,818390
544,921875	-41,068520
550,781250	-41,056229
556,640625	-40,812153
562,500000	-41,119427
568,359375	-43,738972
574,218750	-45,781902
580,078125	-46,013100
585,937500	-44,612625
591,796875	-45,368458
597,656250	-46,931469
603,515625	-47,809639
609,375000	-48,691647
615,234375	-49,028744
621,093750	-43,753456
626,953125	-39,446701
632,812500	-40,403183
638,671875	-44,221470
644,531250	-44,848465
650,390625	-43,559284
656,250000	-40,727390
662,109375	-41,453293
667,968750	-43,194336
673,828125	-44,044418
679,687500	-46,689396
685,546875	-49,089020
691,406250	-50,666164
697,265625	-54,089355
703,125000	-49,291969
708,984375	-45,596912
714,843750	-45,075005
720,703125	-46,878681
726,562500	-46,105606
732,421875	-44,734104
738,281250	-46,245995
744,140625	-47,956654
750,000000	-49,372753
755,859375	-51,284157
761,718750	-52,473328
767,578125	-53,101074
773,437500	-55,252300
779,296875	-55,663887
785,156250	-55,194527
791,015625	-54,689175
796,875000	-54,922516
802,734375	-55,551838
808,593750	-54,731319
814,453125	-52,753464
820,312500	-52,398609
826,171875	-54,020504
832,031250	-54,530037
837,890625	-54,321705
843,750000	-54,716000
849,609375	-53,782536
855,468750	-53,527332
861,328125	-51,303341
867,187500	-49,731968
873,046875	-49,951515
878,906250	-50,257767
884,765625	-50,148575
890,625000	-49,218105
896,484375	-49,851246
902,343750	-51,211697
908,203125	-54,284779
914,062500	-55,533783
919,921875	-53,289085
925,781250	-53,392853
931,640625	-53,127876
937,500000	-51,781948
943,359375	-51,228790
949,218750	-53,216381
955,078125	-54,120049
960,937500	-54,529293
966,796875	-55,210827
972,656250	-56,825676
978,515625	-54,164383
984,375000	-50,956982
990,234375	-51,709408
996,093750	-51,371376
1001,953125	-51,261436
1007,812500	-52,378098
1013,671875	-53,823765
1019,531250	-57,385521
1025,390625	-58,025932
