Częstotliwość (Hz)	Poziom (dB)
2,691650	-95,429825
5,383301	-91,631714
8,074951	-89,118591
10,766602	-88,874008
13,458252	-88,431366
16,149902	-90,565453
18,841553	-90,011940
21,533203	-89,568901
24,224854	-89,085495
26,916504	-88,379822
29,608154	-88,468536
32,299805	-88,199379
34,991455	-86,388275
37,683105	-87,470772
40,374756	-87,913483
43,066406	-86,952774
45,758057	-87,465065
48,449707	-89,513008
51,141357	-85,761337
53,833008	-86,440010
56,524658	-85,677597
59,216309	-85,175041
61,907959	-85,190971
64,599609	-84,101578
67,291260	-83,744507
69,982910	-84,832489
72,674561	-83,516418
75,366211	-81,829376
78,057861	-82,911736
80,749512	-82,895576
83,441162	-83,387535
86,132813	-80,849274
88,824463	-80,946671
91,516113	-80,768456
94,207764	-78,034744
96,899414	-76,218971
99,591064	-75,298065
102,282715	-76,228340
104,974365	-71,527550
107,666016	-67,099350
110,357666	-62,619320
113,049316	-61,435505
115,740967	-58,217663
118,432617	-56,543346
121,124268	-59,213051
123,815918	-55,099327
126,507568	-55,439732
129,199219	-56,397701
131,890869	-54,813995
134,582520	-55,746368
137,274170	-55,078377
139,965820	-54,513069
142,657471	-55,176292
145,349121	-54,098049
148,040771	-52,255417
150,732422	-50,788040
153,424072	-49,878536
156,115723	-50,087345
158,807373	-50,106762
161,499023	-47,898560
164,190674	-47,832394
166,882324	-47,042637
169,573975	-45,516464
172,265625	-44,454498
174,957275	-43,711601
177,648926	-43,217361
180,340576	-43,333317
183,032227	-43,379292
185,723877	-41,440086
188,415527	-40,288525
191,107178	-41,551731
193,798828	-45,108097
196,490479	-47,003036
199,182129	-47,293331
201,873779	-48,076221
204,565430	-45,175716
207,257080	-45,878265
209,948730	-45,005192
212,640381	-44,983696
215,332031	-43,245575
218,023682	-41,476917
220,715332	-42,059669
223,406982	-40,540798
226,098633	-37,006866
228,790283	-37,270073
231,481934	-35,991302
234,173584	-37,495136
236,865234	-41,565281
239,556885	-42,177155
242,248535	-40,490032
244,940186	-39,665920
247,631836	-39,339500
250,323486	-40,656666
253,015137	-40,773129
255,706787	-41,687996
258,398438	-42,958191
261,090088	-43,767010
263,781738	-45,120861
266,473389	-44,773930
269,165039	-44,296947
271,856689	-45,464050
274,548340	-46,996769
277,239990	-45,319866
279,931641	-45,527061
282,623291	-46,725918
285,314941	-47,701649
288,006592	-48,445690
290,698242	-47,694546
293,389893	-46,837288
296,081543	-46,768005
298,773193	-47,865986
301,464844	-48,413071
304,156494	-47,643494
306,848145	-45,640106
309,539795	-46,405476
312,231445	-44,593258
314,923096	-44,993908
317,614746	-44,460781
320,306396	-43,725292
322,998047	-43,543438
325,689697	-40,462643
328,381348	-41,300766
331,072998	-40,681252
333,764648	-38,651394
336,456299	-38,297993
339,147949	-37,976051
341,839600	-36,740433
344,531250	-35,394264
347,222900	-36,743153
349,914551	-38,445358
352,606201	-36,210777
355,297852	-36,404968
357,989502	-38,310627
360,681152	-39,252892
363,372803	-39,984665
366,064453	-40,754875
368,756104	-40,202229
371,447754	-38,821415
374,139404	-38,791077
376,831055	-39,399117
379,522705	-41,519112
382,214355	-41,866505
384,906006	-42,407513
387,597656	-42,390892
390,289307	-42,287647
392,980957	-41,069077
395,672607	-40,706917
398,364258	-41,094269
401,055908	-41,798584
403,747559	-40,872292
406,439209	-42,088211
409,130859	-41,346615
411,822510	-40,378212
414,514160	-42,845493
417,205811	-40,495682
419,897461	-40,776455
422,589111	-40,972885
425,280762	-39,044674
427,972412	-40,979488
430,664063	-40,102798
433,355713	-36,781120
436,047363	-36,783276
438,739014	-37,990337
441,430664	-37,394115
444,122314	-36,825962
446,813965	-35,151875
449,505615	-34,356953
452,197266	-34,230038
454,888916	-34,327999
457,580566	-35,276215
460,272217	-35,977051
462,963867	-35,474831
465,655518	-35,560753
468,347168	-35,821224
471,038818	-35,296654
473,730469	-37,230911
476,422119	-38,466995
479,113770	-36,617222
481,805420	-36,250042
484,497070	-36,939041
487,188721	-37,394115
489,880371	-35,229225
492,572021	-34,092007
