Częstotliwość (Hz)	Poziom (dB)
1,345825	-104,601631
2,691650	-99,071999
4,037476	-94,507278
5,383301	-93,658623
6,729126	-105,706253
8,074951	-91,278862
9,420776	-88,510277
10,766602	-87,472618
12,112427	-89,213928
13,458252	-93,006752
14,804077	-99,433876
16,149902	-91,622169
17,495728	-90,907509
18,841553	-98,785774
20,187378	-112,539589
21,533203	-99,815811
22,879028	-98,042946
24,224854	-89,688316
25,570679	-87,473732
26,916504	-89,199074
28,262329	-93,288193
29,608154	-87,681244
30,953979	-86,345032
32,299805	-86,331001
33,645630	-87,428719
34,991455	-92,051987
36,337280	-96,099602
37,683105	-98,444756
39,028931	-102,169342
40,374756	-93,171692
41,720581	-92,392044
43,066406	-91,814384
44,412231	-90,612747
45,758057	-87,611877
47,103882	-88,397339
48,449707	-108,020851
49,795532	-88,757263
51,141357	-88,998657
52,487183	-93,008133
53,833008	-89,468201
55,178833	-88,728378
56,524658	-89,328018
57,870483	-84,811050
59,216309	-83,997864
60,562134	-84,853134
61,907959	-86,282608
63,253784	-90,832787
64,599609	-89,996918
65,945435	-83,473671
67,291260	-82,947197
68,637085	-85,060265
69,982910	-92,044678
71,328735	-88,530029
72,674561	-83,528267
74,020386	-84,903503
75,366211	-96,076355
76,712036	-87,323830
78,057861	-85,310600
79,403687	-84,853683
80,749512	-84,665596
82,095337	-100,933662
83,441162	-88,223763
84,786987	-97,417305
86,132813	-86,512627
87,478638	-87,357437
88,824463	-86,253036
90,170288	-87,596046
91,516113	-87,050049
92,861938	-79,820839
94,207764	-78,926811
95,553589	-80,605515
96,899414	-77,962357
98,245239	-81,367249
99,591064	-81,596031
100,936890	-80,183510
102,282715	-86,556061
103,628540	-78,977150
104,974365	-78,825645
106,320190	-81,515594
107,666016	-75,465858
109,011841	-65,499496
110,357666	-60,889736
111,703491	-65,194672
113,049316	-61,380955
114,395142	-63,395966
115,740967	-71,264328
117,086792	-54,447891
118,432617	-54,183281
119,778442	-64,515831
121,124268	-61,307693
122,470093	-62,927502
123,815918	-61,508747
125,161743	-61,918476
126,507568	-61,609150
127,853394	-70,019730
129,199219	-74,327728
130,545044	-64,625320
131,890869	-64,624435
133,236694	-70,002380
134,582520	-76,423454
135,928345	-66,072792
137,274170	-63,554447
138,619995	-66,670555
139,965820	-78,537704
141,311646	-74,785591
142,657471	-73,235542
144,003296	-65,493271
145,349121	-61,072479
146,694946	-63,290253
148,040771	-70,948479
149,386597	-63,338284
150,732422	-66,646751
152,078247	-67,252167
153,424072	-71,222435
154,769897	-61,997929
156,115723	-67,347427
157,461548	-65,693329
158,807373	-65,766251
160,153198	-65,052345
161,499023	-62,637039
162,844849	-69,756935
164,190674	-66,346115
165,536499	-57,535889
166,882324	-57,536972
168,228149	-71,318909
169,573975	-71,712151
170,919800	-72,839767
172,265625	-64,230919
173,611450	-63,780582
174,957275	-61,903378
176,303101	-54,347462
177,648926	-57,660748
178,994751	-80,802917
180,340576	-62,468433
181,686401	-64,210930
183,032227	-68,143997
184,378052	-58,646816
185,723877	-55,688690
187,069702	-54,486748
188,415527	-57,596500
189,761353	-62,145184
191,107178	-54,098942
192,453003	-57,927841
193,798828	-53,694973
195,144653	-49,697536
196,490479	-69,373245
197,836304	-51,174625
199,182129	-51,426971
200,527954	-59,151527
201,873779	-49,618496
203,219604	-47,608974
204,565430	-57,916008
205,911255	-47,478989
207,257080	-49,529778
208,602905	-51,757008
209,948730	-52,996532
211,294556	-58,644264
212,640381	-44,307629
213,986206	-42,310253
215,332031	-51,836662
216,677856	-50,067078
218,023682	-49,556671
219,369507	-43,102379
220,715332	-43,267326
222,061157	-48,201561
223,406982	-46,047070
224,752808	-39,719143
226,098633	-34,578579
227,444458	-47,562851
228,790283	-36,312752
230,136108	-38,021099
231,481934	-33,679070
232,827759	-33,429615
234,173584	-38,524342
235,519409	-43,615589
236,865234	-43,900547
238,211060	-52,409142
239,556885	-40,390732
240,902710	-39,321461
242,248535	-46,373302
243,594360	-45,776562
244,940186	-47,406532
246,286011	-42,878941
247,631836	-44,516693
248,977661	-46,874508
250,323486	-50,803391
